date,team_id,home,PPG,RPG,APG,ptsAllowed,wins,losses,winPctL10,pace,toRat,offRebRate,defRebRate,rebRate,effFGpct,trueSP,offEff,defEff,opponent_id,win,oppPPG,oppRPG,oppAPG,oppptsAllowed,oppwins,opplosses,oppwinPctL10,opppace,opptoRat,oppoffRebRate,oppdefRebRate,opprebRate,oppeffFGpct,opptrueSP,oppoffEff,oppdefEff
2021-04-21,1,0,113.4,45.5,24.1,110.7,32,26,0.8,99.9,12.0,24.6,76.8,51.3,53.7,58.0,112.8,110.7,20,0,106.2,45.6,21.1,105.0,32,27,0.8,98.5,12.2,23.1,79.4,51.1,51.6,55.2,107.1,105.6
2021-04-21,2,0,119.1,44.2,26.9,115.2,39,19,0.5,101.8,12.5,21.9,77.6,51.1,57.6,61.0,116.1,110.6,28,0,112.0,41.6,24.1,112.4,24,34,0.6,102.1,12.1,20.8,76.0,47.6,53.3,57.2,109.8,109.0
2021-04-21,5,0,112.0,44.5,26.8,113.7,24,33,0.5,101.0,13.7,22.4,79.3,51.8,54.9,57.9,109.1,110.6,6,0,103.8,42.6,23.8,111.5,20,37,0.3,98.7,13.8,23.9,75.7,49.7,50.8,54.2,103.1,110.6
2021-04-21,6,1,103.8,42.6,23.8,111.5,20,37,0.3,98.7,13.8,23.9,75.7,49.7,50.8,54.2,103.1,110.6,5,1,112.0,44.5,26.8,113.7,24,33,0.5,101.0,13.7,22.4,79.3,51.8,54.9,57.9,109.1,110.6
2021-04-21,7,1,111.3,43.6,22.3,111.1,30,26,0.5,99.4,11.1,20.3,77.8,49.5,54.6,57.8,111.7,110.5,9,1,107.6,42.6,24.4,110.9,18,40,0.4,99.3,13.3,22.7,76.9,49.4,51.8,55.7,106.1,110.2
2021-04-21,8,0,115.7,44.8,27.1,111.0,37,20,0.8,97.9,12.2,25.9,77.5,52.8,56.2,59.1,114.9,110.1,25,1,114.3,43.8,20.5,115.5,32,25,0.3,100.6,10.2,23.0,76.3,49.0,53.3,57.1,113.4,113.9
2021-04-21,9,0,107.6,42.6,24.4,110.9,18,40,0.4,99.3,13.3,22.7,76.9,49.4,51.8,55.7,106.1,110.2,7,0,111.3,43.6,22.3,111.1,30,26,0.5,99.4,11.1,20.3,77.8,49.5,54.6,57.8,111.7,110.5
2021-04-21,10,0,112.9,42.6,27.2,113.0,29,29,0.6,103.6,13.3,17.9,76.1,47.6,54.5,57.8,107.9,108.5,30,0,114.0,44.5,25.1,120.2,24,33,0.7,105.3,12.7,20.4,77.0,49.4,52.7,56.5,107.0,110.7
2021-04-21,11,1,107.9,42.4,23.1,113.6,15,43,0.2,102.4,13.0,20.0,76.9,47.5,51.8,55.1,104.4,111.0,29,0,116.9,48.2,23.6,108.0,43,15,0.6,100.2,12.5,24.6,78.7,53.1,56.2,59.6,115.2,106.1
2021-04-21,12,1,113.5,42.4,26.7,113.2,26,31,0.5,102.2,12.1,20.9,76.6,48.4,53.7,57.0,108.9,109.7,21,1,105.3,45.4,22.3,112.0,20,38,0.0,101.6,14.2,20.3,78.3,49.4,51.6,54.6,102.1,110.9
2021-04-21,13,1,115.0,44.3,24.5,109.1,41,19,0.9,99.2,12.0,22.8,79.5,51.9,56.9,60.3,116.2,108.7,15,1,113.8,46.3,27.2,110.9,29,27,0.6,101.5,11.6,24.6,80.0,51.6,53.0,56.1,110.0,108.1
2021-04-21,15,0,113.8,46.3,27.2,110.9,29,27,0.6,101.5,11.6,24.6,80.0,51.6,53.0,56.1,110.0,108.1,13,0,115.0,44.3,24.5,109.1,41,19,0.9,99.2,12.0,22.8,79.5,51.9,56.9,60.3,116.2,108.7
2021-04-21,16,0,106.5,42.0,26.2,107.6,30,28,0.6,98.2,13.6,19.5,77.0,49.4,53.7,57.3,107.0,107.7,27,1,110.6,44.2,24.6,110.7,28,28,0.4,100.0,10.3,20.2,78.1,48.7,51.8,55.4,108.4,109.6
2021-04-21,20,1,106.2,45.6,21.1,105.0,32,27,0.8,98.5,12.2,23.1,79.4,51.1,51.6,55.2,107.1,105.6,1,1,113.4,45.5,24.1,110.7,32,26,0.8,99.9,12.0,24.6,76.8,51.3,53.7,58.0,112.8,110.7
2021-04-21,21,0,105.3,45.4,22.3,112.0,20,38,0.0,101.6,14.2,20.3,78.3,49.4,51.6,54.6,102.1,110.9,12,0,113.5,42.4,26.7,113.2,26,31,0.5,102.2,12.1,20.9,76.6,48.4,53.7,57.0,108.9,109.7
2021-04-21,23,1,113.4,45.6,23.2,109.4,39,18,0.7,101.5,13.1,23.5,78.8,52.3,53.8,57.7,110.0,104.6,24,0,114.7,43.6,27.2,107.4,41,16,0.8,98.5,11.9,20.8,78.7,50.8,56.3,59.5,113.8,107.3
2021-04-21,24,0,114.7,43.6,27.2,107.4,41,16,0.8,98.5,11.9,20.8,78.7,50.8,56.3,59.5,113.8,107.3,23,1,113.4,45.6,23.2,109.4,39,18,0.7,101.5,13.1,23.5,78.8,52.3,53.8,57.7,110.0,104.6
2021-04-21,25,1,114.3,43.8,20.5,115.5,32,25,0.3,100.6,10.2,23.0,76.3,49.0,53.3,57.1,113.4,113.9,8,0,115.7,44.8,27.1,111.0,37,20,0.8,97.9,12.2,25.9,77.5,52.8,56.2,59.1,114.9,110.1
2021-04-21,27,1,110.6,44.2,24.6,110.7,28,28,0.4,100.0,10.3,20.2,78.1,48.7,51.8,55.4,108.4,109.6,16,0,106.5,42.0,26.2,107.6,30,28,0.6,98.2,13.6,19.5,77.0,49.4,53.7,57.3,107.0,107.7
2021-04-21,28,1,112.0,41.6,24.1,112.4,24,34,0.6,102.1,12.1,20.8,76.0,47.6,53.3,57.2,109.8,109.0,2,1,119.1,44.2,26.9,115.2,39,19,0.5,101.8,12.5,21.9,77.6,51.1,57.6,61.0,116.1,110.6
2021-04-21,29,0,116.9,48.2,23.6,108.0,43,15,0.6,100.2,12.5,24.6,78.7,53.1,56.2,59.6,115.2,106.1,11,1,107.9,42.4,23.1,113.6,15,43,0.2,102.4,13.0,20.0,76.9,47.5,51.8,55.1,104.4,111.0
2021-04-21,30,1,114.0,44.5,25.1,120.2,24,33,0.7,105.3,12.7,20.4,77.0,49.4,52.7,56.5,107.0,110.7,10,1,112.9,42.6,27.2,113.0,29,29,0.6,103.6,13.3,17.9,76.1,47.6,54.5,57.8,107.9,108.5
2021-04-22,3,1,112.4,44.1,23.4,111.5,31,27,0.8,100.3,12.6,24.6,77.3,51.2,54.5,57.6,111.4,109.7,24,1,114.7,43.4,27.2,107.4,42,16,0.8,98.6,11.8,20.8,78.7,50.6,56.3,59.5,114.0,107.4
